MovieName,Director,Cast,Duration,ReleaseDate,Genre,Production,Rating_MyMovies,Rating_Critic,Rating_Public,Rating_Average,TopParagraph,BottomParagraph
La Stranezza,Roberto Andò,"Toni Servillo, Salvo Ficarra, Valentino Picone, Giulia Andò, Rosario Lisma",103,27 ottobre 2022,Commedia,Medusa,"4,00","3,72","3,91","3,88","Regia di Roberto Andò. Un film Da vedere 2022 con Toni Servillo, Salvo Ficarra, Valentino Picone, Giulia Andò, Rosario Lisma. Cast completo Genere Commedia, - Italia, 2022, durata 103 minuti. Uscita cinema giovedì 27 ottobre 2022 distribuito da Medusa. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,88 su 25 recensioni tra critica, pubblico e dizionari.","1920. L'omaggio per l'ottantesimo genetliaco di Verga è l'occasione per un ritorno in Sicilia di Luigi Pirandello. Il film è stato premiato ai Nastri d'Argento,  ha ottenuto 14 candidature e vinto 4 David di Donatello, In Italia al Box Office La Stranezza ha incassato  5,7 milioni di euro ."
Le otto montagne,"Felix Van Groeningen, Charlotte Vandermeersch","Luca Marinelli, Alessandro Borghi, Filippo Timi, Elena Lietti, Gualtiero Burzi",147,22 dicembre 2022,Drammatico,Vision Distribution,"3,00","3,16","3,53","3,23","Regia di Felix Van Groeningen, Charlotte Vandermeersch. Un film Da vedere 2022 con Luca Marinelli, Alessandro Borghi, Filippo Timi, Elena Lietti, Gualtiero Burzi. Cast completo Titolo internazionale: The Eight Mountains. Genere Drammatico, - Italia, Francia, Belgio, 2022, durata 147 minuti. Uscita cinema giovedì 22 dicembre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,23 su 38 recensioni tra critica, pubblico e dizionari.","Decenni di amicizia tra un giovane che proviene dalla città e un pastore. Il film è stato premiato al Festival di Cannes,  ha ottenuto 3 candidature e vinto 2 Nastri d'Argento,  ha ottenuto 13 candidature e vinto 4 David di Donatello,  ha ottenuto 1 candidatura a Goya, In Italia al Box Office Le otto montagne ha incassato  6 milioni di euro .

                                

Passaggio in TV
                                        
                                            il film è stato trasmesso lunedì 19 febbraio 2024 ore 9,22 su  SKYCINEMA2"
Siccità,Paolo Virzì,"Silvio Orlando, Valerio Mastandrea, Elena Lietti, Tommaso Ragno, Claudia Pandolfi",124,29 settembre 2022,Drammatico,Vision Distribution,"3,00","2,85","3,27","3,04","Regia di Paolo Virzì. Un film Da vedere 2022 con Silvio Orlando, Valerio Mastandrea, Elena Lietti, Tommaso Ragno, Claudia Pandolfi. Cast completo Genere Drammatico, - Italia, 2022, durata 124 minuti. Uscita cinema giovedì 29 settembre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,04 su 25 recensioni tra critica, pubblico e dizionari.","A Roma non piove da tre anni e la mancanza d'acqua stravolge regole e abitudini. Le esistenze dei protagonisti sono legate in un unico disegno beffardo e tragico, mentre cercano ognuno la propria redenzione. Il film ha ottenuto 5 candidature ai Nastri d'Argento,  4 candidature e vinto 2 David di Donatello, In Italia al Box Office Siccità ha incassato  1,8 milioni di euro .
                                        

Siccità è disponibile a Noleggio e in Digital Downloadsu TROVA STREAMING
                                            
                                             e in DVD 
                                            
                                            su IBS.it e su LaFeltrinelli.it.
                                            
                                             Compra subito"
L'ombra del giorno,Giuseppe Piccioni,"Riccardo Scamarcio, Benedetta Porcaroli, Valeria Bilello, Lino Musella",125,24 febbraio 2022,Drammatico,01 Distribution,"3,50","3,15","3,68","3,44","Regia di Giuseppe Piccioni. Un film Da vedere 2022 con Riccardo Scamarcio, Benedetta Porcaroli, Valeria Bilello, Lino Musella. Cast completo Genere Drammatico, - Italia, 2022, durata 125 minuti. Uscita cinema giovedì 24 febbraio 2022 distribuito da 01 Distribution. - MYmonetro 3,44 su 17 recensioni tra critica, pubblico e dizionari.","Sul finire degli Anni Trenta ad Ascoli Piceno Luciano scoprirà l'amore. Il film ha ottenuto 3 candidature ai Nastri d'Argento, In Italia al Box Office L'ombra del giorno ha incassato  337 mila euro ."
Il Colibrì,Francesca Archibugi,"Pierfrancesco Favino, Kasia Smutniak, Bérénice Bejo, Laura Morante, Sergio Albelli",126,14 ottobre 2022,Drammatico,01 Distribution,"2,50","2,36","2,89","2,58","Regia di Francesca Archibugi. Un film con Pierfrancesco Favino, Kasia Smutniak, Bérénice Bejo, Laura Morante, Sergio Albelli. Cast completo Genere Drammatico, - Italia, 2022, durata 126 minuti. Uscita cinema venerdì 14 ottobre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,58 su 23 recensioni tra critica, pubblico e dizionari.","Il film, diretto da Francesca Archibugi, è tratto dal romanzo ""Il Colibrì"" dello scrittore fiorentino Sandro Veronesi, vincitore del Premio Strega 2020. Il film ha ottenuto 2 candidature e vinto un premio ai Nastri d'Argento,  4 candidature a David di Donatello, In Italia al Box Office Il Colibrì ha incassato  3 milioni di euro ."
Settembre,Giulia Steigerwalt,"Fabrizio Bentivoglio, Barbara Ronchi, Thony, Andrea Sartoretti, Tesa Litvan",110,5 maggio 2022,Drammatico,01 Distribution,"3,50","2,93","3,72","3,38","Regia di Giulia Steigerwalt. Un film Da vedere 2022 con Fabrizio Bentivoglio, Barbara Ronchi, Thony, Andrea Sartoretti, Tesa Litvan. Cast completo Genere Drammatico, - Italia, 2022, durata 110 minuti. Uscita cinema giovedì 5 maggio 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,38 su 15 recensioni tra critica, pubblico e dizionari.","Un racconto corale che esplora le relazioni umane, la nostra natura più profonda, la ricerca di un contatto più autentico tra le persone. Il film ha ottenuto 5 candidature e vinto un premio ai Nastri d'Argento,  ha vinto 2  David di Donatello, In Italia al Box Office Settembre ha incassato  333 mila euro ."
Nostalgia,Mario Martone,"Pierfrancesco Favino, Tommaso Ragno, Francesco Di Leva, Aurora Quattrocchi",117,25 maggio 2022,Drammatico,Medusa,"4,00","3,62","3,69","3,77","Regia di Mario Martone. Un film Da vedere 2022 con Pierfrancesco Favino, Tommaso Ragno, Francesco Di Leva, Aurora Quattrocchi. Cast completo Genere Drammatico, - Italia, 2022, durata 117 minuti. Uscita cinema mercoledì 25 maggio 2022 distribuito da Medusa. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,77 su 33 recensioni tra critica, pubblico e dizionari.","Dopo quarant'anni di lontananza Felice torna lì dov'è nato, il rione Sanità, nel ventre di Napoli. Il film ha ottenuto 10 candidature e vinto 4 Nastri d'Argento,  9 candidature e vinto un premio ai David di Donatello,  1 candidatura agli European Film Awards, In Italia al Box Office Nostalgia ha incassato  1,6 milioni di euro ."
L'ombra di Caravaggio,Michele Placido,"Riccardo Scamarcio, Louis Garrel, Isabelle Huppert, Micaela Ramazzotti, Mario Molinari (I)",120,3 novembre 2022,Drammatico,01 Distribution,"2,50","2,90","3,57","2,99","Regia di Michele Placido. Un film con Riccardo Scamarcio, Louis Garrel, Isabelle Huppert, Micaela Ramazzotti, Mario Molinari (I). Cast completo Titolo internazionale: Caravaggio's Shadow. Genere Drammatico, - Italia, 2022, durata 120 minuti. Uscita cinema giovedì 3 novembre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,99 su 25 recensioni tra critica, pubblico e dizionari.","Un artista geniale e sovversivo che vive con il peso di una condanna a morte e su cui sta per allungarsi l'Ombra di un implacabile potere occulto. Il film ha ottenuto 5 candidature e vinto 3 Nastri d'Argento,  5 candidature e vinto 2 David di Donatello, In Italia al Box Office L'ombra di Caravaggio ha incassato  2,1 milioni di euro ."
Il signore delle formiche,Gianni Amelio,"Luigi Lo Cascio, Elio Germano, Sara Serraiocco, Leonardo Maltese, Anna Caterina Antonacci (I)",130,8 settembre 2022,Drammatico,01 Distribution,"3,50","3,37","4,00","3,62","Regia di Gianni Amelio. Un film Da vedere 2022 con Luigi Lo Cascio, Elio Germano, Sara Serraiocco, Leonardo Maltese, Anna Caterina Antonacci (I). Cast completo Genere Drammatico, - Italia, 2022, durata 130 minuti. Uscita cinema giovedì 8 settembre 2022 distribuito da 01 Distribution. - MYmonetro 3,62 su 31 recensioni tra critica, pubblico e dizionari.","La storia di Aldo Braibanti, l'omosessualità a processo nell'Italia degli anni Sessanta. Il film ha ottenuto 3 candidature ai Nastri d'Argento,  11 candidature a David di Donatello, In Italia al Box Office Il signore delle formiche ha incassato  1,7 milioni di euro ."
Il grande giorno,Massimo Venier,"Aldo Baglio, Giovanni Storti, Giacomo Poretti, Antonella Attili, Elena Lietti",90,22 dicembre 2022,Commedia,Medusa,"3,50","3,13","2,89","3,17","Regia di Massimo Venier. Un film Da vedere 2022 con Aldo Baglio, Giovanni Storti, Giacomo Poretti, Antonella Attili, Elena Lietti. Cast completo Genere Commedia, - Italia, 2022, durata 90 minuti. Uscita cinema giovedì 22 dicembre 2022 distribuito da Medusa. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,17 su 20 recensioni tra critica, pubblico e dizionari.","Dopo il successo di ""Odio l'Estate"" Aldo Giovanni e Giacomo tornano con una nuova commedia corale. Il film ha ottenuto 2 candidature ai Nastri d'Argento, Il film è stato premiato a David di Donatello, In Italia al Box Office Il grande giorno ha incassato  7,2 milioni di euro ."
Corro da te,Riccardo Milani,"Pierfrancesco Favino, Miriam Leone, Pietro Sermonti, Vanessa Scalera, Pilar Fogliati",113,17 marzo 2022,Commedia,Vision Distribution,"2,50","2,81","2,78","2,70","Regia di Riccardo Milani. Un film con Pierfrancesco Favino, Miriam Leone, Pietro Sermonti, Vanessa Scalera, Pilar Fogliati. Cast completo Genere Commedia, - Italia, 2022, durata 113 minuti. Uscita cinema giovedì 17 marzo 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,70 su 24 recensioni tra critica, pubblico e dizionari.","Single e affascinante seduttore, Gianni è un seduttore seriale. La sua vita però è destinata a cambiare quando conosce Chiara, una donna solare e dinamica che un incidente ha reso paraplegica. Ha vinto 2  Nastri d'Argento,  Il film ha ottenuto 1 candidatura a David di Donatello, In Italia al Box Office Corro da te ha incassato  2,4 milioni di euro ."
Dante,Pupi Avati,"Sergio Castellitto, Alessandro Sperduti, Enrico Lo Verso, Carlotta Gamba",94,29 settembre 2022,Biografico,01 Distribution,"3,00","3,03","2,93","2,99","Regia di Pupi Avati. Un film Da vedere 2022 con Sergio Castellitto, Alessandro Sperduti, Enrico Lo Verso, Carlotta Gamba. Cast completo Genere Biografico, - Italia, 2022, durata 94 minuti. Uscita cinema giovedì 29 settembre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,99 su 19 recensioni tra critica, pubblico e dizionari.","La vicenda umana di Dante Alighieri, fra i grandi certamente il più grande e il più noto nel mondo. Il film ha ottenuto 1 candidatura a David di Donatello, In Italia al Box Office Dante ha incassato  1,9 milioni di euro ."
Io sono l'abisso,Donato Carrisi,"Sara Ciocca, Michela Cescon, Lidiya Liberman, Ettore Scarpa",126,27 ottobre 2022,Drammatico,Vision Distribution,"2,50","2,41","3,71","2,87","Regia di Donato Carrisi. Un film con Sara Ciocca, Michela Cescon, Lidiya Liberman, Ettore Scarpa. Genere Drammatico, - Italia, 2022, durata 126 minuti. Uscita cinema giovedì 27 ottobre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 2,87 su 23 recensioni tra critica, pubblico e dizionari.",Dall'omonimo romanzo del regista. In Italia al Box Office Io sono l'abisso ha incassato nelle prime 2 settimane di programmazione 354 mila euro  e 146 euro nel primo weekend.
Ti mangio il cuore,Pippo Mezzapesa,"Elodie, Francesco Patané, Francesco Di Leva, Lidia Vitale, Giovanni Trombetta",115,22 settembre 2022,Drammatico,01 Distribution,"3,00","2,77","3,74","3,17","Regia di Pippo Mezzapesa. Un film Da vedere 2022 con Elodie, Francesco Patané, Francesco Di Leva, Lidia Vitale, Giovanni Trombetta. Cast completo Genere Drammatico, - Italia, 2022, durata 115 minuti. Uscita cinema giovedì 22 settembre 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,17 su 22 recensioni tra critica, pubblico e dizionari.","Tratto dall'omonimo libro inchiesta di Carlo Bonini e Giuliano Foschini, un gangster movie e una grande, tragica storia d'amore. Il film ha ottenuto 3 candidature e vinto un premio ai Nastri d'Argento,  ha vinto un premio ai David di Donatello, In Italia al Box Office Ti mangio il cuore ha incassato  512 mila euro ."
Il sesso degli angeli,Leonardo Pieraccioni,"Leonardo Pieraccioni, Sabrina Ferilli, Marcello Fonte, Gabriela Giovanardi",91,21 aprile 2022,Commedia,01 Distribution,"2,00","1,72","2,67","2,13","Regia di Leonardo Pieraccioni. Un film con Leonardo Pieraccioni, Sabrina Ferilli, Marcello Fonte, Gabriela Giovanardi. Cast completo Genere Commedia, - Italia, 2022, durata 91 minuti. Uscita cinema giovedì 21 aprile 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,13 su 10 recensioni tra critica, pubblico e dizionari.","La storia di Don Simone, un prete di frontiera, con una chiesetta sempre in difficoltà e mai frequentata dai ragazzi che preferiscono piuttosto lo stare insieme dei social. In Italia al Box Office Il sesso degli angeli ha incassato  1,5 milioni di euro ."
Vicini di casa,Paolo Costella,"Claudio Bisio, Vittoria Puccini, Valentina Lodovini, Vinicio Marchioni",83,1 dicembre 2022,Commedia,Medusa,"2,50","2,05","2,11","2,22","Regia di Paolo Costella. Un film con Claudio Bisio, Vittoria Puccini, Valentina Lodovini, Vinicio Marchioni. Genere Commedia, - Italia, 2022, durata 83 minuti. Uscita cinema giovedì 1 dicembre 2022 distribuito da Medusa. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,22 su 11 recensioni tra critica, pubblico e dizionari.","Commedia italiana in cui due coppie si trovano a confrontarsi. Il film ha ottenuto 1 candidatura ai Nastri d'Argento, In Italia al Box Office Vicini di casa ha incassato  1,6 milioni di euro ."
